Month,California,Florida,Texas,Washington,New York,National
2015-01-01,6.8,5.9,4.6,5.6,5.7,5.7
2015-02-01,6.7,5.8,4.5,5.5,5.6,5.5
2015-03-01,6.6,5.8,4.5,5.5,5.6,5.4
2015-04-01,6.5,5.7,4.5,5.4,5.5,5.4
2015-05-01,6.4,5.7,4.4,5.4,5.4,5.6
2015-06-01,6.3,5.6,4.4,5.4,5.3,5.3
2015-07-01,6.2,5.5,4.4,5.4,5.2,5.2
2015-08-01,6.0,5.4,4.5,5.4,5.0,5.1
2015-09-01,5.9,5.3,4.5,5.4,4.9,5.0
2015-10-01,5.8,5.3,4.5,5.4,4.9,5.0
2015-11-01,5.8,5.2,4.5,5.4,4.9,5.1
2015-12-01,5.7,5.1,4.5,5.4,4.8,5.0
2016-01-01,5.7,5.1,4.5,5.4,4.8,4.8
2016-02-01,5.6,5.0,4.4,5.4,4.8,4.9
2016-03-01,5.6,5.0,4.5,5.4,4.8,5.0
2016-04-01,5.5,4.9,4.5,5.3,4.8,5.1
2016-05-01,5.5,4.9,4.6,5.3,4.8,4.8
2016-06-01,5.5,4.9,4.7,5.3,4.9,4.9
2016-07-01,5.5,4.9,4.7,5.3,4.9,4.8
2016-08-01,5.5,4.9,4.7,5.2,5.0,4.9
2016-09-01,5.5,4.9,4.8,5.1,5.0,5.0
2016-10-01,5.5,4.9,4.8,5.1,5.0,4.9
2016-11-01,5.4,4.8,4.8,5.0,4.9,4.7
2016-12-01,5.4,4.8,4.8,4.9,4.8,4.7
2017-01-01,5.2,4.7,4.8,4.8,4.7,4.7
2017-02-01,5.1,4.6,4.7,4.7,4.6,4.6
2017-03-01,5.0,4.5,4.6,4.6,4.6,4.4
2017-04-01,5.0,4.4,4.5,4.6,4.6,4.4
2017-05-01,4.9,4.3,4.4,4.6,4.6,4.4
2017-06-01,4.9,4.3,4.3,4.6,4.6,4.3
2017-07-01,4.8,4.2,4.2,4.6,4.7,4.3
2017-08-01,4.8,4.2,4.2,4.6,4.7,4.4
2017-09-01,4.7,4.2,4.1,4.7,4.7,4.3
2017-10-01,4.6,4.1,4.1,4.7,4.7,4.2
2017-11-01,4.5,4.1,4.1,4.6,4.6,4.2
2017-12-01,4.5,4.0,4.1,4.6,4.5,4.1
2018-01-01,4.4,3.9,4.1,4.6,4.5,4.0
2018-02-01,4.3,3.9,4.0,4.6,4.4,4.1
2018-03-01,4.3,3.8,4.0,4.5,4.3,4.0
2018-04-01,4.2,3.8,4.0,4.4,4.2,4.0
2018-05-01,4.2,3.7,3.9,4.3,4.1,3.8
2018-06-01,4.2,3.6,3.9,4.3,4.0,4.0
2018-07-01,4.2,3.6,3.9,4.3,3.9,3.8
2018-08-01,4.2,3.5,3.8,4.3,3.9,3.8
2018-09-01,4.2,3.5,3.8,4.3,3.9,3.7
2018-10-01,4.3,3.5,3.8,4.4,4.0,3.8
2018-11-01,4.3,3.5,3.8,4.5,4.0,3.8
2018-12-01,4.3,3.5,3.8,4.6,4.0,3.9
2019-01-01,4.3,3.5,3.7,4.7,4.0,4.0
2019-02-01,4.3,3.5,3.7,4.6,3.9,3.8
2019-03-01,4.2,3.4,3.6,4.5,3.9,3.8
2019-04-01,4.1,3.3,3.5,4.4,3.8,3.7
2019-05-01,4.0,3.3,3.4,4.3,3.7,3.6
2019-06-01,4.0,3.3,3.4,4.2,3.7,3.6
2019-07-01,4.0,3.2,3.5,4.1,3.8,3.7
2019-08-01,4.0,3.2,3.5,4.1,3.8,3.6
2019-09-01,4.0,3.2,3.5,4.0,3.9,3.5
2019-10-01,4.0,3.1,3.5,3.9,3.9,3.6
2019-11-01,4.1,3.0,3.5,3.8,3.9,3.6
2019-12-01,4.2,3.0,3.5,3.7,4.0,3.6
2020-01-01,4.3,3.0,3.5,3.7,4.1,3.6
2020-02-01,4.4,3.0,3.6,3.8,4.1,3.5
2020-03-01,5.5,4.1,5.0,5.2,4.2,4.4
2020-04-01,16.1,13.4,12.8,16.7,15.6,14.8
2020-05-01,15.8,14.2,11.6,13.4,16.7,13.2
2020-06-01,13.8,11.8,10.1,11.5,13.6,11.0
2020-07-01,13.2,11.8,9.3,10.4,12.5,10.2
2020-08-01,11.9,8.8,8.1,8.8,10.8,8.4
2020-09-01,10.0,8.1,7.7,8.1,10.2,7.8
2020-10-01,9.3,7.1,7.1,7.2,9.2,6.8
2020-11-01,9.0,6.6,7.0,6.9,9.0,6.7
2020-12-01,9.0,6.4,6.9,6.7,8.7,6.7
2021-01-01,8.7,5.9,6.7,6.4,8.6,6.4
2021-02-01,8.6,5.6,6.6,6.2,8.4,6.2
2021-03-01,8.4,5.4,6.4,6.0,8.1,6.1
2021-04-01,8.3,5.2,6.2,5.7,7.9,6.1
2021-05-01,7.9,4.9,6.0,5.5,7.5,5.8
2021-06-01,7.8,4.9,5.8,5.4,7.5,5.9
2021-07-01,7.4,4.6,5.6,5.2,7.0,5.4
2021-08-01,7.0,4.4,5.3,5.0,6.8,5.1
2021-09-01,6.5,4.1,5.1,4.7,6.3,4.7
2021-10-01,6.1,3.9,4.9,4.5,5.9,4.5
2021-11-01,5.7,3.8,4.6,4.2,5.6,4.1
2021-12-01,5.5,3.6,4.5,4.1,5.5,3.9
2022-01-01,5.2,3.5,4.3,4.0,5.2,4.0
2022-02-01,4.8,3.3,4.1,4.0,4.8,3.8
2022-03-01,4.4,3.2,3.9,3.9,4.6,3.6
2022-04-01,4.2,3.1,3.8,3.9,4.4,3.7
2022-05-01,4.1,3.0,3.8,3.9,4.3,3.6
2022-06-01,4.0,2.9,3.8,4.0,4.2,3.6
2022-07-01,3.9,2.8,3.8,4.0,4.0,3.5
2022-08-01,3.8,2.8,3.8,4.1,3.9,3.6
2022-09-01,4.0,2.8,3.9,4.2,4.0,3.5
2022-10-01,4.2,2.9,4.0,4.3,4.1,3.6
2022-11-01,4.3,2.8,4.0,4.3,4.2,3.6
2022-12-01,4.4,2.8,4.1,4.2,4.2,3.5
2023-01-01,4.5,2.8,4.1,4.1,4.1,3.4
2023-02-01,4.5,2.8,4.0,4.0,4.0,3.6
2023-03-01,4.5,2.8,4.0,3.9,4.0,3.5
2023-04-01,4.5,2.7,4.0,3.8,3.9,3.4
2023-05-01,4.5,2.8,4.0,3.8,3.9,3.7
2023-06-01,4.6,2.8,3.9,3.8,4.0,3.6
2023-07-01,4.7,2.9,3.9,3.9,4.1,3.5
2023-08-01,4.8,3.0,3.9,4.1,4.3,3.8
2023-09-01,5.0,3.0,3.9,4.3,4.4,3.8
2023-10-01,5.1,3.1,3.9,4.4,4.6,3.8
2023-11-01,5.1,3.1,3.9,4.4,4.6,3.7
2023-12-01,5.1,3.1,3.9,4.4,4.6,3.7
